_time,index,host.name,event.code,UserAccount,SourceIP
2022-02-19T17:38:49.034+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T17:38:52.225+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.50.100
2022-02-19T17:38:52.445+0000,wineventlogs,dc.magnumtempus.financial,4624,administrator,172.16.21.100
2022-02-19T17:39:51.153+0000,wineventlogs,dc02.magnumtempus.financial,4624,norma.gene,172.16.50.144
2022-02-19T17:39:51.153+0000,wineventlogs,dc02.magnumtempus.financial,4624,norma.gene,172.16.50.144
2022-02-19T17:39:51.153+0000,wineventlogs,dc02.magnumtempus.financial,4624,norma.gene,172.16.50.144
2022-02-19T17:39:51.153+0000,wineventlogs,dc02.magnumtempus.financial,4624,norma.gene,172.16.50.144
2022-02-19T17:39:51.153+0000,wineventlogs,dc02.magnumtempus.financial,4624,norma.gene,172.16.50.144
2022-02-19T17:39:51.153+0000,wineventlogs,dc02.magnumtempus.financial,4624,norma.gene,172.16.50.144
2022-02-19T17:40:09.984+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T17:40:11.025+0000,wineventlogs,dc.magnumtempus.financial,4624,administrator,172.16.21.100
2022-02-19T17:44:50.515+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.144
2022-02-19T17:44:50.515+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.144
2022-02-19T17:44:50.516+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.144
2022-02-19T17:44:50.516+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.144
2022-02-19T17:44:50.516+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.144
2022-02-19T17:44:50.516+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.144
2022-02-19T17:50:11.426+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.131
2022-02-19T17:50:11.426+0000,wineventlogs,dc02.magnumtempus.financial,4624,karen.metuens,172.16.50.131
2022-02-19T17:50:12.308+0000,wineventlogs,dc.magnumtempus.financial,4624,karen.metuens,172.16.50.131
2022-02-19T17:50:23.741+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T17:50:28.285+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:28.285+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:28.285+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:28.285+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T17:50:29.439+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:29.439+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:29.439+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:29.439+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:32.534+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:32.534+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:32.534+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:50:32.534+0000,wineventlogs,files.magnumtempus.financial,4625,Administrator,172.16.50.110
2022-02-19T17:54:12.795+0000,wineventlogs,wkst05.magnumtempus.financial,4624,molly.ferio,172.16.21.100
2022-02-19T17:54:17.904+0000,wineventlogs,wkst05.magnumtempus.financial,4624,molly.ferio,172.16.21.100
2022-02-19T17:54:18.642+0000,wineventlogs,dc.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:20.997+0000,wineventlogs,wkst14.magnumtempus.financial,4624,autumn.mi,172.16.21.100
2022-02-19T17:54:24.382+0000,wineventlogs,wkst14.magnumtempus.financial,4624,autumn.mi,172.16.21.100
2022-02-19T17:54:24.672+0000,wineventlogs,dc.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:40.306+0000,wineventlogs,files.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.307+0000,wineventlogs,files.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.307+0000,wineventlogs,files.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.307+0000,wineventlogs,files.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.743+0000,wineventlogs,dc.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.743+0000,wineventlogs,dc.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.743+0000,wineventlogs,dc.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.743+0000,wineventlogs,dc.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:40.743+0000,wineventlogs,dc.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T17:54:48.344+0000,wineventlogs,files.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.344+0000,wineventlogs,files.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.344+0000,wineventlogs,files.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.344+0000,wineventlogs,files.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.816+0000,wineventlogs,dc.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.816+0000,wineventlogs,dc.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.816+0000,wineventlogs,dc.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.816+0000,wineventlogs,dc.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:54:48.868+0000,wineventlogs,dc02.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T17:55:46.126+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T17:55:48.147+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T17:55:48.809+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.50.100
2022-02-19T18:01:39.197+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.55.110
2022-02-19T18:01:39.197+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.100
2022-02-19T18:01:39.198+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.101
2022-02-19T18:02:36.444+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T18:02:36.444+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T18:02:36.444+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T18:02:36.444+0000,wineventlogs,files.magnumtempus.financial,4624,stephen.lamna,172.16.50.133
2022-02-19T18:03:28.825+0000,wineventlogs,rdp01.magnumtempus.financial,4624,pat.risus,3.129.164.140
2022-02-19T18:03:31.659+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:31.660+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:31.660+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:31.660+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:31.989+0000,wineventlogs,rdp01.magnumtempus.financial,4624,pat.risus,3.129.164.140
2022-02-19T18:03:31.989+0000,wineventlogs,rdp01.magnumtempus.financial,4624,pat.risus,3.129.164.140
2022-02-19T18:03:32.241+0000,wineventlogs,dc.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:32.438+0000,wineventlogs,dc02.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:32.438+0000,wineventlogs,dc02.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:32.438+0000,wineventlogs,dc02.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:32.438+0000,wineventlogs,dc02.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:32.438+0000,wineventlogs,dc02.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:03:32.439+0000,wineventlogs,dc02.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:04:04.763+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.100
2022-02-19T18:04:04.763+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.101
2022-02-19T18:04:04.763+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.55.110
2022-02-19T18:04:20.803+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.100
2022-02-19T18:04:20.803+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.55.110
2022-02-19T18:04:20.803+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.101
2022-02-19T18:04:39.868+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:04:39.868+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:04:39.868+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:04:39.868+0000,wineventlogs,files.magnumtempus.financial,4624,pat.risus,172.16.55.110
2022-02-19T18:05:16.001+0000,wineventlogs,files.magnumtempus.financial,4624,brent.socium,172.16.55.110
2022-02-19T18:06:13.042+0000,wineventlogs,wkst03.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T18:06:15.400+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.50.133
2022-02-19T18:06:15.401+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.50.133
2022-02-19T18:06:15.401+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.50.133
2022-02-19T18:06:15.401+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.50.133
2022-02-19T18:06:15.583+0000,wineventlogs,wkst03.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T18:06:32.469+0000,wineventlogs,files.magnumtempus.financial,4624,molly.ferio,172.16.50.134
2022-02-19T18:06:35.494+0000,wineventlogs,files.magnumtempus.financial,4624,autumn.mi,172.16.50.143
2022-02-19T18:06:47.557+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T18:06:47.557+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T18:06:47.557+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T18:06:47.557+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T18:07:28.776+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:28.777+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:28.777+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:28.777+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:48.883+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:48.883+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:48.883+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:48.883+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:07:50.079+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.100
2022-02-19T18:08:45.488+0000,wineventlogs,files.magnumtempus.financial,4624,lex.perrin,172.16.50.143
2022-02-19T18:11:33.792+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:11:33.792+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:11:33.792+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:11:33.792+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:11:54.523+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.100
2022-02-19T18:11:54.897+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:11:54.898+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:11:54.898+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:11:54.898+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:21.595+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.100
2022-02-19T18:12:21.990+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:21.991+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:21.991+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:21.991+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:51.166+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:51.166+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:51.166+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:51.166+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.55.110
2022-02-19T18:12:51.726+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.100
2022-02-19T18:13:08.278+0000,wineventlogs,dc.magnumtempus.financial,4624,Administrator,172.16.21.100
2022-02-19T18:13:11.671+0000,wineventlogs,dc.magnumtempus.financial,4624,administrator,172.16.21.100
2022-02-19T18:13:11.765+0000,wineventlogs,files.magnumtempus.financial,4624,Administrator,172.16.50.100
2022-02-19T18:14:37.044+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.136
2022-02-19T18:14:37.044+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.132
2022-02-19T18:14:44.062+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.137
2022-02-19T18:14:44.063+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.140
2022-02-19T18:15:04.141+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.136
2022-02-19T18:15:04.142+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.132
2022-02-19T18:15:09.164+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.137
2022-02-19T18:15:09.164+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.140
2022-02-19T18:15:26.214+0000,wineventlogs,files.magnumtempus.financial,4624,ANONYMOUS LOGON,172.16.50.136
